kernel,gamma,degree,C,mean_test_f1,std_test_f1,mean_test_f2,std_test_f2
poly,0.001,5.0,50.0,0.0,0.0,0.8601084637268848,0.000598870625235972
poly,2.5,6.0,0.75,0.9078191508767226,0.0094396549344116,0.9361738188427747,0.01541434991261834
poly,7.5,4.0,0.1,0.9049967157272812,0.017493893734164677,0.9246661497420579,0.012479650003186935
poly,0.01,7.0,4.0,0.0,0.0,0.8601084637268848,0.000598870625235972
rbf,1.0,,0.25,0.9969747728541698,0.004037878062051045,0.9960220970204168,0.005305702780219578
rbf,0.5,,2.0,1.0,0.0,1.0,0.0
poly,0.01,1.0,10.0,0.9781678203835951,0.008591508030408224,0.9716809672311925,0.011480776333188215
poly,1.0,1.0,7.5,0.9879171422296869,0.007464240158068825,0.9880573773899031,0.009546626901265308
poly,0.05,4.0,0.75,0.18677722888732065,0.0444972645568289,0.8727773691274928,0.003417832129939607
poly,10.0,2.0,2.0,0.7607287208406441,0.022050075638844008,0.8553843243722901,0.013133949896611855
rbf,7.5,,2.0,1.0,0.0,1.0,0.0
rbf,5.0,,1.0,1.0,0.0,1.0,0.0
poly,5.0,3.0,4.0,0.9989743589743589,0.0020512820512820886,0.9996699669966997,0.0006600660066007347
rbf,7.5,,3.0,1.0,0.0,1.0,0.0
poly,5.0,6.0,0.5,0.8934034539715185,0.02095963733371591,0.9125673352402135,0.022627681354761096
poly,1.0,3.0,10.0,0.9989743589743589,0.0020512820512820886,0.9996699669966997,0.0006600660066007347
rbf,1.0,,10.0,0.9989949748743718,0.0020100502512562903,0.9986754966887418,0.0026490066225165255
